Number,Value
1,47982
2,48269
3,48474
4,48041
5,47573
6,47566
7,47171
8,46685
9,46264
10,45899
11,45545
12,45176
13,44917
14,44537
15,44370
16,44077
17,43346
18,43162
19,42935
20,42413
21,41386
22,41661
23,40380
24,40673
25,40551
26,40178
27,40208
28,39647
29,38998
30,38384
31,37926
32,37640
33,37462
34,37198
35,37187
36,36657
37,36125
38,35839
39,35213
40,34603
41,34175
42,33900
43,33182
44,33550
45,33247
46,32704
47,32688
48,31920
49,31624
50,30763
51,30258
52,29992
53,29489
54,29831
55,29532
56,29045
57,29027
58,28446
59,27749
60,27665
61,26600
62,26632
63,26467
64,26758
65,26590
66,26479
67,26504
68,26608
69,25912
70,25386
71,24560
72,24077
73,24155
74,108476
75,177560
76,221440
77,233344
78,215715
79,177118
80,129663
81,84226
82,48477
83,24337
84,10768
85,4038
86,1378
87,457
88,253
89,224
90,178
